UploadId,FileName,UseForTraining,PlantId,MinX,MaxX,MinY,MaxY,Approved,Injected
1372,05df85da-a0ec-4f92-babd-eef64a3b7f86.jpg,False,-203,329,651,1503,1745,True,False
1372,05df85da-a0ec-4f92-babd-eef64a3b7f86.jpg,False,-203,1717,1912,1660,1879,True,False
1372,05df85da-a0ec-4f92-babd-eef64a3b7f86.jpg,False,-203,313,589,465,654,True,False
1372,05df85da-a0ec-4f92-babd-eef64a3b7f86.jpg,False,-203,1678,1852,1440,1586,True,False
1372,05df85da-a0ec-4f92-babd-eef64a3b7f86.jpg,False,-203,399,610,1621,1809,True,False
1372,05df85da-a0ec-4f92-babd-eef64a3b7f86.jpg,False,-203,396,617,1777,1983,True,False
1372,05df85da-a0ec-4f92-babd-eef64a3b7f86.jpg,False,-203,291,471,1225,1397,True,False
1372,05df85da-a0ec-4f92-babd-eef64a3b7f86.jpg,False,-203,266,363,1595,1737,True,False
1372,05df85da-a0ec-4f92-babd-eef64a3b7f86.jpg,False,-203,403,581,1140,1291,True,False
1372,05df85da-a0ec-4f92-babd-eef64a3b7f86.jpg,False,-203,1805,1980,1485,1670,True,False
1372,05df85da-a0ec-4f92-babd-eef64a3b7f86.jpg,False,-203,453,616,1975,2046,True,False
1372,05df85da-a0ec-4f92-babd-eef64a3b7f86.jpg,False,-203,1693,1996,626,842,True,False
1372,05df85da-a0ec-4f92-babd-eef64a3b7f86.jpg,False,-203,1803,1897,1923,2044,True,False
1372,05df85da-a0ec-4f92-babd-eef64a3b7f86.jpg,False,-203,1674,1903,932,1133,True,False
1372,05df85da-a0ec-4f92-babd-eef64a3b7f86.jpg,False,-203,450,549,771,880,True,False
1372,05df85da-a0ec-4f92-babd-eef64a3b7f86.jpg,False,-203,1710,1919,771,922,True,False
1372,05df85da-a0ec-4f92-babd-eef64a3b7f86.jpg,False,-203,531,705,1699,1885,True,False
1372,05df85da-a0ec-4f92-babd-eef64a3b7f86.jpg,False,-15,2312,2448,650,895,True,False
1372,05df85da-a0ec-4f92-babd-eef64a3b7f86.jpg,False,-203,437,630,1,124,True,False
1372,05df85da-a0ec-4f92-babd-eef64a3b7f86.jpg,False,-203,464,634,614,800,True,False
1372,05df85da-a0ec-4f92-babd-eef64a3b7f86.jpg,False,-203,486,658,975,1145,True,False
1372,05df85da-a0ec-4f92-babd-eef64a3b7f86.jpg,False,-203,1724,1905,1342,1478,True,False
1372,05df85da-a0ec-4f92-babd-eef64a3b7f86.jpg,False,-100,1485,1524,315,363,True,False
